515005.66  8548815.07  [(515025.0, 8548825.0), (514975.0, 8548825.0), (515025.0, 8548775.0)]  [21.740296685994696, 32.22794594746166, 44.49315115863198]  -2.9494308277287153  0.037318275194996545 
515158.057  8550260.322  [(515175.0, 8550275.0), (515125.0, 8550275.0), (515175.0, 8550225.0)]  [22.41671102063347, 36.16917102975612, 39.17536130076116]  -2.40434705006883  -0.3366421823701802 
516609.103  8550227.221  [(516625.0, 8550225.0), (516575.0, 8550225.0), (516625.0, 8550275.0)]  [16.05140025055814, 34.175246158643795, 50.35421978265745]  -2.134983241956641  1.2502606134440417 
515898.467  8551997.043  [(515875.0, 8551975.0), (515925.0, 8551975.0), (515875.0, 8552025.0)]  [32.19617893450183, 34.49483929491541, 36.50060188575926]  -1.870728033500337  1.0 
515701.684  8554089.745  [(515725.0, 8554075.0), (515675.0, 8554075.0), (515725.0, 8554125.0)]  [27.58715064981232, 30.486896873514013, 42.26761030691701]  0.21595081576940273  -4.412502747674422 
515714.942  8556337.476  [(515725.0, 8556325.0), (515725.0, 8556375.0), (515675.0, 8556325.0)]  [16.02541543908234, 38.848602806485076, 41.8451184726877]  0.017844517302575302  -4.44431101267899 
514497.785  8558413.814  [(514475.0, 8558425.0), (514525.0, 8558425.0), (514475.0, 8558375.0)]  [25.382726823849477, 29.424187686607915, 45.007586259936474]  -3.7202342549292835  -4.690063226452765 
513418.464  8558057.341  [(513425.0, 8558075.0), (513425.0, 8558025.0), (513375.0, 8558075.0)]  [18.82975244127654, 32.99484167261983, 46.91438560822865]  -3.589608162863951  -1.0721192418794776 
512172.777  8559795.188  [(512175.0, 8559775.0), (512175.0, 8559825.0), (512125.0, 8559775.0)]  [20.31002395285879, 29.894766649877607, 51.86710974178033]  -3.3808940087566492  19.737373506833677 
511291.699  8560841.977  [(511275.0, 8560825.0), (511275.0, 8560875.0), (511325.0, 8560825.0)]  [23.813339329023737, 37.00506897715094, 37.37880589313941]  -3.7934790236537985  -2.5426640633553212 
511017.436  8562351.549  [(511025.0, 8562375.0), (511025.0, 8562325.0), (510975.0, 8562375.0)]  [24.64068783481785, 27.605497587094042, 48.484672804625966]  230.77565115631836  102.52790684191622 
513206.649  8552899.219  [(513225.0, 8552875.0), (513225.0, 8552925.0), (513175.0, 8552875.0)]  [30.386167280942644, 31.645207567256772, 39.85246745212908]  -2.0043874967531052  0.7227385293220981 
513516.089  8549363.513  [(513525.0, 8549375.0), (513525.0, 8549325.0), (513475.0, 8549375.0)]  [14.5381253947759, 39.530457751220766, 42.664471050184595]  4.5944707609160655  -4.984703892170288 
514278.737  8559859.578  [(514275.0, 8559875.0), (514275.0, 8559825.0), (514325.0, 8559875.0)]  [15.868309708597948, 34.77935095689182, 48.76580003450884]  5.022007247334647  0.9638180815109539 
513575.999  8555493.386  [(513575.0, 8555475.0), (513575.0, 8555525.0), (513625.0, 8555475.0)]  [18.413120240682446, 31.62978022376681, 52.33682257260904]  3.720291852877847  -1.3475420542299794 
512811.92  8550930.292  [(512825.0, 8550925.0), (512775.0, 8550925.0), (512825.0, 8550975.0)]  [14.109984549758842, 37.29734124562773, 46.582095960262]  -2.594357159570836  -2.29863840631421 
