515005.66  8548815.07  [(515025.0, 8548825.0), (514975.0, 8548825.0), (515025.0, 8548775.0)]  [21.740296685994696, 32.22794594746166, 44.49315115863198]  0.01440306981591244  -0.07731340862402501 
515158.057  8550260.322  [(515175.0, 8550275.0), (515125.0, 8550275.0), (515175.0, 8550225.0)]  [22.41671102063347, 36.16917102975612, 39.17536130076116]  0.019374692717866106  -0.038086941001376606 
516609.103  8550227.221  [(516625.0, 8550225.0), (516575.0, 8550225.0), (516625.0, 8550275.0)]  [16.05140025055814, 34.175246158643795, 50.35421978265745]  -0.025065686234897466  -0.04218403446437988 
515898.467  8551997.043  [(515875.0, 8551975.0), (515925.0, 8551975.0), (515875.0, 8552025.0)]  [32.19617893450183, 34.49483929491541, 36.50060188575926]  -0.01486516013613878  -0.04241456067000675 
515701.684  8554089.745  [(515725.0, 8554075.0), (515675.0, 8554075.0), (515725.0, 8554125.0)]  [27.58715064981232, 30.486896873514013, 42.26761030691701]  0.06310834024554045  -0.007221358879818144 
515714.942  8556337.476  [(515725.0, 8556325.0), (515725.0, 8556375.0), (515675.0, 8556325.0)]  [16.02541543908234, 38.848602806485076, 41.8451184726877]  0.050467667286697215  0.020834103127990704 
514497.785  8558413.814  [(514475.0, 8558425.0), (514525.0, 8558425.0), (514475.0, 8558375.0)]  [25.382726823849477, 29.424187686607915, 45.007586259936474]  0.06941944284865699  -0.08860855014968208 
513418.464  8558057.341  [(513425.0, 8558075.0), (513425.0, 8558025.0), (513375.0, 8558075.0)]  [18.82975244127654, 32.99484167261983, 46.91438560822865]  -0.0031416622832968135  -0.04335341879268229 
512172.777  8559795.188  [(512175.0, 8559775.0), (512175.0, 8559825.0), (512125.0, 8559775.0)]  [20.31002395285879, 29.894766649877607, 51.86710974178033]  -0.2840201932596798  -0.09930787301968115 
511291.699  8560841.977  [(511275.0, 8560825.0), (511275.0, 8560875.0), (511325.0, 8560825.0)]  [23.813339329023737, 37.00506897715094, 37.37880589313941]  0.05536860887833133  -0.012769912223918893 
511017.436  8562351.549  [(511025.0, 8562375.0), (511025.0, 8562325.0), (510975.0, 8562375.0)]  [24.64068783481785, 27.605497587094042, 48.484672804625966]  -2.5242064249854144  2.5494467892047505 
513206.649  8552899.219  [(513225.0, 8552875.0), (513225.0, 8552925.0), (513175.0, 8552875.0)]  [30.386167280942644, 31.645207567256772, 39.85246745212908]  0.02777261470677902  -0.04408237207672048 
513516.089  8549363.513  [(513525.0, 8549375.0), (513525.0, 8549325.0), (513475.0, 8549375.0)]  [14.5381253947759, 39.530457751220766, 42.664471050184595]  0.11423013041808518  0.14770213982234573 
514278.737  8559859.578  [(514275.0, 8559875.0), (514275.0, 8559825.0), (514325.0, 8559875.0)]  [15.868309708597948, 34.77935095689182, 48.76580003450884]  -0.01881870865921062  0.05837474622907616 
513575.999  8555493.386  [(513575.0, 8555475.0), (513575.0, 8555525.0), (513625.0, 8555475.0)]  [18.413120240682446, 31.62978022376681, 52.33682257260904]  0.06457687980668902  0.06486240199696928 
512811.92  8550930.292  [(512825.0, 8550925.0), (512775.0, 8550925.0), (512825.0, 8550975.0)]  [14.109984549758842, 37.29734124562773, 46.582095960262]  0.0566268408850947  -0.01627803013231905 
